Symbol,Strategy,FinalEquity,AnnRet,AnnVol,Sharpe,MaxDD,Calmar,param_mr_window,param_vol_q,param_fee_bps
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.1,0.5
SPY,Momentum,0.9517581916574899,-0.0033501413342850173,0.09000798468362174,0.008327993351932983,-1.5111984469617847,-0.0022168771685944803,10,0.1,0.5
SPY,Mean Reversion,2.4703787514431648,0.06330222609192826,0.13514094612307373,0.5220993617403427,-1.8447761931468512,0.03431431212473868,10,0.1,0.5
SPY,Mean Reversion with Regime,1.285655608782489,0.017199765570849346,0.043207618717631076,0.41625303482689996,-1.108244004842668,0.015519836331793296,10,0.1,0.5
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.1,0.5
2330.TW,Momentum,1.8810812504681318,0.04542836934526262,0.13317431461065452,0.40001280442835524,-1.3413082859008605,0.03386870104567471,10,0.1,0.5
2330.TW,Mean Reversion,7.818492412789454,0.1555738681969514,0.17494035035724262,0.9141189879460326,-2.877617901051485,0.054063421047007156,10,0.1,0.5
2330.TW,Mean Reversion with Regime,1.7259209937694902,0.03911959095992357,0.05476354986635113,0.727959648490178,-1.1455914823227282,0.0341479415337544,10,0.1,0.5
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.1,1.0
SPY,Momentum,0.8895836377995284,-0.00790942198732203,0.09000985900875413,-0.04260654123395286,-1.521339461989862,-0.005198985620853328,10,0.1,1.0
SPY,Mean Reversion,2.392224923801933,0.060984791990752685,0.13514320472422042,0.505944732466247,-1.8338415443303873,0.03325521345030974,10,0.1,1.0
SPY,Mean Reversion with Regime,1.2761804568242994,0.01668921395594425,0.04320359256899885,0.4046669730477338,-1.1085907979365888,0.015054440274091892,10,0.1,1.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.1,1.0
2330.TW,Momentum,1.7567743132713727,0.04041496862181093,0.1331595089990732,0.3639398825476993,-1.3425946063596075,0.030102138374735864,10,0.1,1.0
2330.TW,Mean Reversion,7.56100135619649,0.15285611672912025,0.17494248705158238,0.9006435767832067,-2.8349222060877146,0.053918981057355604,10,0.1,1.0
2330.TW,Mean Reversion with Regime,1.7121836211210553,0.03853588656282181,0.05475299450550506,0.7178265748886418,-1.1453954503397885,0.03364417638588481,10,0.1,1.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.1,2.0
SPY,Momentum,0.7771461679923278,-0.01696618423946017,0.09001846744107835,-0.14446144745355044,-1.5390435417769819,-0.011023849409660618,10,0.1,2.0
SPY,Mean Reversion,2.243245740733738,0.056364719358437565,0.13514972420622626,0.4736300767223188,-1.8122828900972603,0.031101501684106626,10,0.1,2.0
SPY,Mean Reversion with Regime,1.25743773613433,0.015668802896923406,0.04319721364857997,0.38147359191718805,-1.1092834477221105,0.014125157036372401,10,0.1,2.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.1,2.0
2330.TW,Momentum,1.5322455065355438,0.030459435041078287,0.133133243266696,0.2917626365296316,-1.3450111173933508,0.022646232917471396,10,0.1,2.0
2330.TW,Mean Reversion,7.0711447660677464,0.14743936889126252,0.17494840239621545,0.8736855419995164,-2.752298394124411,0.05356954362434507,10,0.1,2.0
2330.TW,Mean Reversion with Regime,1.6850340130963064,0.03736937388375816,0.05473335044147036,0.6975300105483128,-1.1449899567821842,0.03263729403249873,10,0.1,2.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.7,0.5
SPY,Momentum,0.9517581916574899,-0.0033501413342850173,0.09000798468362174,0.008327993351932983,-1.5111984469617847,-0.0022168771685944803,10,0.7,0.5
SPY,Mean Reversion,2.4703787514431648,0.06330222609192826,0.13514094612307373,0.5220993617403427,-1.8447761931468512,0.03431431212473868,10,0.7,0.5
SPY,Mean Reversion with Regime,2.496247425244954,0.06405425141011523,0.08158293420233523,0.8018919420932653,-1.2307669118551319,0.052044177328074585,10,0.7,0.5
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.7,0.5
2330.TW,Momentum,1.8810812504681318,0.04542836934526262,0.13317431461065452,0.40001280442835524,-1.3413082859008605,0.03386870104567471,10,0.7,0.5
2330.TW,Mean Reversion,7.818492412789454,0.1555738681969514,0.17494035035724262,0.9141189879460326,-2.877617901051485,0.054063421047007156,10,0.7,0.5
2330.TW,Mean Reversion with Regime,2.3120539950809404,0.06070253656392888,0.12218144805384838,0.5434695976127465,-1.907826910957616,0.031817633043796305,10,0.7,0.5
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.7,1.0
SPY,Momentum,0.8895836377995284,-0.00790942198732203,0.09000985900875413,-0.04260654123395286,-1.521339461989862,-0.005198985620853328,10,0.7,1.0
SPY,Mean Reversion,2.392224923801933,0.060984791990752685,0.13514320472422042,0.505944732466247,-1.8338415443303873,0.03325521345030974,10,0.7,1.0
SPY,Mean Reversion with Regime,2.432691007927558,0.06219336695920252,0.08157969005586505,0.7804597027543217,-1.2267966562379562,0.05069574215332647,10,0.7,1.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.7,1.0
2330.TW,Momentum,1.7567743132713727,0.04041496862181093,0.1331595089990732,0.3639398825476993,-1.3425946063596075,0.030102138374735864,10,0.7,1.0
2330.TW,Mean Reversion,7.56100135619649,0.15285611672912025,0.17494248705158238,0.9006435767832067,-2.8349222060877146,0.053918981057355604,10,0.7,1.0
2330.TW,Mean Reversion with Regime,2.253852414127211,0.05880277877417672,0.1221810709979075,0.5287965896179956,-1.892320500728142,0.03107442885681898,10,0.7,1.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.7,2.0
SPY,Momentum,0.7771461679923278,-0.01696618423946017,0.09001846744107835,-0.14446144745355044,-1.5390435417769819,-0.011023849409660618,10,0.7,2.0
SPY,Mean Reversion,2.243245740733738,0.056364719358437565,0.13514972420622626,0.4736300767223188,-1.8122828900972603,0.031101501684106626,10,0.7,2.0
SPY,Mean Reversion with Regime,2.3103826257220734,0.05848107781242673,0.08157597373416227,0.737565046457032,-1.2190504570521727,0.0479726474602551,10,0.7,2.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.7,2.0
2330.TW,Momentum,1.5322455065355438,0.030459435041078287,0.133133243266696,0.2917626365296316,-1.3450111173933508,0.022646232917471396,10,0.7,2.0
2330.TW,Mean Reversion,7.0711447660677464,0.14743936889126252,0.17494840239621545,0.8736855419995164,-2.752298394124411,0.05356954362434507,10,0.7,2.0
2330.TW,Mean Reversion with Regime,2.1417995235218195,0.055013181020550084,0.12218220485318622,0.4994425844000176,-1.8620283468441736,0.029544760214734764,10,0.7,2.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.8,0.5
SPY,Momentum,0.9517581916574899,-0.0033501413342850173,0.09000798468362174,0.008327993351932983,-1.5111984469617847,-0.0022168771685944803,10,0.8,0.5
SPY,Mean Reversion,2.4703787514431648,0.06330222609192826,0.13514094612307373,0.5220993617403427,-1.8447761931468512,0.03431431212473868,10,0.8,0.5
SPY,Mean Reversion with Regime,2.6524030504805487,0.06844523034978667,0.0896492110268306,0.7833488178811121,-1.5121246442364502,0.04526427805450403,10,0.8,0.5
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.8,0.5
2330.TW,Momentum,1.8810812504681318,0.04542836934526262,0.13317431461065452,0.40001280442835524,-1.3413082859008605,0.03386870104567471,10,0.8,0.5
2330.TW,Mean Reversion,7.818492412789454,0.1555738681969514,0.17494035035724262,0.9141189879460326,-2.877617901051485,0.054063421047007156,10,0.8,0.5
2330.TW,Mean Reversion with Regime,3.339838315345678,0.08849000420161302,0.133130653140276,0.7035699832364171,-2.2801934483919664,0.0388081126467659,10,0.8,0.5
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.8,1.0
SPY,Momentum,0.8895836377995284,-0.00790942198732203,0.09000985900875413,-0.04260654123395286,-1.521339461989862,-0.005198985620853328,10,0.8,1.0
SPY,Mean Reversion,2.392224923801933,0.060984791990752685,0.13514320472422042,0.505944732466247,-1.8338415443303873,0.03325521345030974,10,0.8,1.0
SPY,Mean Reversion with Regime,2.5804734663695976,0.06645342384454778,0.08964884302971149,0.7625328545688327,-1.5024657918013307,0.044229575280296855,10,0.8,1.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.8,1.0
2330.TW,Momentum,1.7567743132713727,0.04041496862181093,0.1331595089990732,0.3639398825476993,-1.3425946063596075,0.030102138374735864,10,0.8,1.0
2330.TW,Mean Reversion,7.56100135619649,0.15285611672912025,0.17494248705158238,0.9006435767832067,-2.8349222060877146,0.053918981057355604,10,0.8,1.0
2330.TW,Mean Reversion with Regime,3.24797839915359,0.08635757847572689,0.13312909227121936,0.6888427697030319,-2.2527553484645755,0.03833420195166162,10,0.8,1.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.8,2.0
SPY,Momentum,0.7771461679923278,-0.01696618423946017,0.09001846744107835,-0.14446144745355044,-1.5390435417769819,-0.011023849409660618,10,0.8,2.0
SPY,Mean Reversion,2.243245740733738,0.056364719358437565,0.13514972420622626,0.4736300767223188,-1.8122828900972603,0.031101501684106626,10,0.8,2.0
SPY,Mean Reversion with Regime,2.442403227602421,0.062480646006171314,0.08965076730402186,0.7208790234875525,-1.483672278706695,0.042112161090342125,10,0.8,2.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.8,2.0
2330.TW,Momentum,1.5322455065355438,0.030459435041078287,0.133133243266696,0.2917626365296316,-1.3450111173933508,0.022646232917471396,10,0.8,2.0
2330.TW,Mean Reversion,7.0711447660677464,0.14743936889126252,0.17494840239621545,0.8736855419995164,-2.752298394124411,0.05356954362434507,10,0.8,2.0
2330.TW,Mean Reversion with Regime,3.071755856009858,0.08210493329947344,0.13312783669929762,0.6593780634055807,-2.1996120483429222,0.03732700653341447,10,0.8,2.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.1,0.5
SPY,Momentum,0.9517581916574899,-0.0033501413342850173,0.09000798468362174,0.008327993351932983,-1.5111984469617847,-0.0022168771685944803,20,0.1,0.5
SPY,Mean Reversion,2.668705014465579,0.06888964397607045,0.1369739565149217,0.555202949144001,-1.792835114253318,0.03842497473882961,20,0.1,0.5
SPY,Mean Reversion with Regime,1.1408571613564285,0.008983969443389528,0.03916584685382378,0.24790611579535,-1.115963739392474,0.008050413401675904,20,0.1,0.5
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.1,0.5
2330.TW,Momentum,1.8810812504681318,0.04542836934526262,0.13317431461065452,0.40001280442835524,-1.3413082859008605,0.03386870104567471,20,0.1,0.5
2330.TW,Mean Reversion,7.0406691377018795,0.14709095389348592,0.17049860501143246,0.8902044299539233,-4.113088816015447,0.03576167704445056,20,0.1,0.5
2330.TW,Mean Reversion with Regime,2.0745648900915263,0.05264984621066526,0.05065274498587596,1.0381330340614923,-1.1070234001479669,0.04755983134920905,20,0.1,0.5
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.1,1.0
SPY,Momentum,0.8895836377995284,-0.00790942198732203,0.09000985900875413,-0.04260654123395286,-1.521339461989862,-0.005198985620853328,20,0.1,1.0
SPY,Mean Reversion,2.6141735158889086,0.06739297257498045,0.1369740864404015,0.5449705001763543,-1.7843320040106578,0.03776930101769217,20,0.1,1.0
SPY,Mean Reversion with Regime,1.1365325283280974,0.008723925756274342,0.03916226587447801,0.24134324444749247,-1.1161299528243467,0.00781622761238385,20,0.1,1.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.1,1.0
2330.TW,Momentum,1.7567743132713727,0.04041496862181093,0.1331595089990732,0.3639398825476993,-1.3425946063596075,0.030102138374735864,20,0.1,1.0
2330.TW,Mean Reversion,6.880595219644711,0.14523754887151163,0.17050253488488562,0.880699082178001,-4.054335878335386,0.03582277177566816,20,0.1,1.0
2330.TW,Mean Reversion with Regime,2.0623834934923972,0.05221405868923079,0.0506384993339944,1.0302328222966968,-1.1066705872380278,0.04718121118547479,20,0.1,1.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.1,2.0
SPY,Momentum,0.7771461679923278,-0.01696618423946017,0.09001846744107835,-0.14446144745355044,-1.5390435417769819,-0.011023849409660618,20,0.1,2.0
SPY,Mean Reversion,2.5084228220865628,0.0644056901097041,0.1369757103542095,0.524500437224074,-1.7675692148020814,0.03643743598290477,20,0.1,2.0
SPY,Mean Reversion with Regime,1.127931737848985,0.008204000462537442,0.039156070709754826,0.22820826567833882,-1.1164621382319126,0.0073482119828351036,20,0.1,2.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.1,2.0
2330.TW,Momentum,1.5322455065355438,0.030459435041078287,0.133133243266696,0.2917626365296316,-1.3450111173933508,0.022646232917471396,20,0.1,2.0
2330.TW,Mean Reversion,6.571260104055972,0.14153944095522508,0.17051163441870373,0.8616834357551891,-3.9401155000457466,0.03592266291523224,20,0.1,2.0
2330.TW,Mean Reversion with Regime,2.038233062400737,0.05134295961675539,0.05061118503656545,1.0143954651257154,-1.1059673829594048,0.046423574879187884,20,0.1,2.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.7,0.5
SPY,Momentum,0.9517581916574899,-0.0033501413342850173,0.09000798468362174,0.008327993351932983,-1.5111984469617847,-0.0022168771685944803,20,0.7,0.5
SPY,Mean Reversion,2.668705014465579,0.06888964397607045,0.1369739565149217,0.555202949144001,-1.792835114253318,0.03842497473882961,20,0.7,0.5
SPY,Mean Reversion with Regime,2.2345299678080712,0.056085653810791225,0.07588955545989061,0.7570678517559317,-1.1732409898422775,0.047804035399693114,20,0.7,0.5
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.7,0.5
2330.TW,Momentum,1.8810812504681318,0.04542836934526262,0.13317431461065452,0.40001280442835524,-1.3413082859008605,0.03386870104567471,20,0.7,0.5
2330.TW,Mean Reversion,7.0406691377018795,0.14709095389348592,0.17049860501143246,0.8902044299539233,-4.113088816015447,0.03576167704445056,20,0.7,0.5
2330.TW,Mean Reversion with Regime,2.6104671516439164,0.06979484475390185,0.11822323433373597,0.6297865312891034,-1.9426795585611383,0.03592710102205223,20,0.7,0.5
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.7,1.0
SPY,Momentum,0.8895836377995284,-0.00790942198732203,0.09000985900875413,-0.04260654123395286,-1.521339461989862,-0.005198985620853328,20,0.7,1.0
SPY,Mean Reversion,2.6141735158889086,0.06739297257498045,0.1369740864404015,0.5449705001763543,-1.7843320040106578,0.03776930101769217,20,0.7,1.0
SPY,Mean Reversion with Regime,2.1979825719083204,0.05490430534725288,0.07588421107558695,0.7423638296516941,-1.1719052751409993,0.0468504635245771,20,0.7,1.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.7,1.0
2330.TW,Momentum,1.7567743132713727,0.04041496862181093,0.1331595089990732,0.3639398825476993,-1.3425946063596075,0.030102138374735864,20,0.7,1.0
2330.TW,Mean Reversion,6.880595219644711,0.14523754887151163,0.17050253488488562,0.880699082178001,-4.054335878335386,0.03582277177566816,20,0.7,1.0
2330.TW,Mean Reversion with Regime,2.561850586067854,0.0683816959123027,0.11822492922182391,0.6185964851085083,-1.929238941532922,0.035444907543680626,20,0.7,1.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.7,2.0
SPY,Momentum,0.7771461679923278,-0.01696618423946017,0.09001846744107835,-0.14446144745355044,-1.5390435417769819,-0.011023849409660618,20,0.7,2.0
SPY,Mean Reversion,2.5084228220865628,0.0644056901097041,0.1369757103542095,0.524500437224074,-1.7675692148020814,0.03643743598290477,20,0.7,2.0
SPY,Mean Reversion with Regime,2.1266660242507243,0.05254539471587205,0.07587553829807896,0.7129306282419636,-1.1692564169860042,0.04493915445109848,20,0.7,2.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.7,2.0
2330.TW,Momentum,1.5322455065355438,0.030459435041078287,0.133133243266696,0.2917626365296316,-1.3450111173933508,0.022646232917471396,20,0.7,2.0
2330.TW,Mean Reversion,6.571260104055972,0.14153944095522508,0.17051163441870373,0.8616834357551891,-3.9401155000457466,0.03592266291523224,20,0.7,2.0
2330.TW,Mean Reversion with Regime,2.4673098954852586,0.06556078456851355,0.11822982007387897,0.5962097855242873,-1.9029176957552991,0.03445276940498018,20,0.7,2.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.8,0.5
SPY,Momentum,0.9517581916574899,-0.0033501413342850173,0.09000798468362174,0.008327993351932983,-1.5111984469617847,-0.0022168771685944803,20,0.8,0.5
SPY,Mean Reversion,2.668705014465579,0.06888964397607045,0.1369739565149217,0.555202949144001,-1.792835114253318,0.03842497473882961,20,0.8,0.5
SPY,Mean Reversion with Regime,2.4026304020523344,0.061297375406814236,0.08480118465140128,0.7439837670694225,-1.3239509110853622,0.04629882791995908,20,0.8,0.5
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.8,0.5
2330.TW,Momentum,1.8810812504681318,0.04542836934526262,0.13317431461065452,0.40001280442835524,-1.3413082859008605,0.03386870104567471,20,0.8,0.5
2330.TW,Mean Reversion,7.0406691377018795,0.14709095389348592,0.17049860501143246,0.8902044299539233,-4.113088816015447,0.03576167704445056,20,0.8,0.5
2330.TW,Mean Reversion with Regime,3.755305081328617,0.09750053943570158,0.12848825330556732,0.7883473298853648,-2.530761328350076,0.038526169316514265,20,0.8,0.5
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.8,1.0
SPY,Momentum,0.8895836377995284,-0.00790942198732203,0.09000985900875413,-0.04260654123395286,-1.521339461989862,-0.005198985620853328,20,0.8,1.0
SPY,Mean Reversion,2.6141735158889086,0.06739297257498045,0.1369740864404015,0.5449705001763543,-1.7843320040106578,0.03776930101769217,20,0.8,1.0
SPY,Mean Reversion with Regime,2.360266946824985,0.0600167794253923,0.08479556201965348,0.729786130489392,-1.3205082049363928,0.0454497588133375,20,0.8,1.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.8,1.0
2330.TW,Momentum,1.7567743132713727,0.04041496862181093,0.1331595089990732,0.3639398825476993,-1.3425946063596075,0.030102138374735864,20,0.8,1.0
2330.TW,Mean Reversion,6.880595219644711,0.14523754887151163,0.17050253488488562,0.880699082178001,-4.054335878335386,0.03582277177566816,20,0.8,1.0
2330.TW,Mean Reversion with Regime,3.6817148175942958,0.09597437709423473,0.12848651080156023,0.7775227398724355,-2.5060465063441955,0.038297125313225544,20,0.8,1.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,20,0.8,2.0
SPY,Momentum,0.7771461679923278,-0.01696618423946017,0.09001846744107835,-0.14446144745355044,-1.5390435417769819,-0.011023849409660618,20,0.8,2.0
SPY,Mean Reversion,2.5084228220865628,0.0644056901097041,0.1369757103542095,0.524500437224074,-1.7675692148020814,0.03643743598290477,20,0.8,2.0
SPY,Mean Reversion with Regime,2.2777616626672756,0.05746002980300813,0.08478624801861244,0.7013692319081732,-1.313713608394678,0.043738627228824024,20,0.8,2.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,20,0.8,2.0
2330.TW,Momentum,1.5322455065355438,0.030459435041078287,0.133133243266696,0.2917626365296316,-1.3450111173933508,0.022646232917471396,20,0.8,2.0
2330.TW,Mean Reversion,6.571260104055972,0.14153944095522508,0.17051163441870373,0.8616834357551891,-3.9401155000457466,0.03592266291523224,20,0.8,2.0
